id_produto;preco;uf;fimVigencia;inicioVigencia;tipoPreco;listaPreco
1000282;3423.84;;;1970-01-01T00:00:00;N;3
1000284;3747.53;;;2023-10-27T14:15:34;C;1741090
1000284;4523.11;;;2023-05-08T00:00:00;N;13108126
1000284;4523.11;;;2023-07-10T00:00:00;N;14079152
1000286;632.58;;;2023-05-08T00:00:00;N;13108126
1000286;680.5;;;2023-05-08T00:00:00;N;14079152
1000286;589.42;;;2023-05-08T00:00:00;N;14753181
1000293;453.64;;;2022-11-28T00:00:00;N;14753181
1000293;467.95;;;2022-11-28T00:00:00;N;38893362
1000322;169.74;;;2022-11-28T00:00:00;N;14079152
1000322;200.93;;;2023-01-23T00:00:00;N;30855291
1000322;169.74;;;2022-11-28T00:00:00;N;38893361
1000330;867.51;;;2022-11-28T00:00:00;N;14079152
1000330;934.6;;;2023-01-23T00:00:00;N;30855291
1000330;867.51;;;2022-11-28T00:00:00;N;38893361
1000331;1196.72;;;2023-04-10T16:35:46;N;13108126
1000331;1538.37;;;2023-04-10T16:27:24;N;14079152
1000331;1763.99;;;2023-04-10T16:27:24;N;30855291
1000334;1318.7;;;2021-09-27T00:00:00;N;13108126
1000334;1318.7;;;2021-09-27T00:00:00;N;32478324
1000334;1110.49;;;2021-09-27T00:00:00;N;34622304
1000336;7833.06;;;2023-04-10T16:35:46;N;13108126
1000336;1769.57;;;2023-04-10T16:27:24;N;14079152
1000336;2029.11;;;2023-04-10T16:27:24;N;30855291
1000357;771.57;;;2022-11-28T00:00:00;N;14753181
1000357;795.92;;;2022-11-28T00:00:00;N;38893362
1000359;657.57;;;1970-01-01T00:00:00;N;1
1000359;657.57;;;1970-01-01T00:00:00;N;2
1000359;657.57;;;1970-01-01T00:00:00;N;3
1000369;1447.34;;;1970-01-01T00:00:00;N;1
1000369;1447.34;;;1970-01-01T00:00:00;N;2
1000369;1447.34;;;1970-01-01T00:00:00;N;3
1000386;1.47;;;2022-11-28T00:00:00;N;14079152
1000386;1.44;;;2023-01-23T00:00:00;N;30855291
1000386;1.47;;;2022-11-28T00:00:00;N;38893361
